finding_type,recommended_action,priority_hint,validation_evidence
VPN Appliance Remote Code Execution,Apply vendor firmware patch immediately; isolate management plane from internet; block inbound connections on VPN ports until patched; review VPN logs for IOCs from past 30 days,P0,"Patch record, firewall rule screenshot, VPN access log review"
VPN Authentication Bypass,Rotate all VPN admin credentials; enforce MFA on VPN management; review active sessions for unauthorized access; apply vendor patch,P0,"Credential rotation log, MFA config record, session audit"
Payment API Authentication Bypass,Patch API gateway immediately; rotate all API keys and tokens; add regression authentication test to CI/CD pipeline; review API logs for unauthorized access,P0,"Patch record, key rotation evidence, auth test result"
Customer Portal Remote Code Execution,Patch web framework; deploy WAF rule as temporary mitigation; review web server logs for exploitation indicators; conduct code review of affected module,P0,"Patch record, WAF rule evidence, web log review"
Project Management Platform RCE,Patch platform to latest version; audit all project permissions; review admin activity logs; rotate credentials stored in project configs,P0,"Patch record, permission audit, admin activity log"
CI/CD Secrets Exposure,Rotate all exposed secrets immediately; migrate secrets to vault-backed storage; scan build logs for leaked credentials; enforce secrets scanning in pipeline,P0,"Secret rotation evidence, vault config, pipeline scan report"
Build Server Arbitrary File Read,Apply Jenkins/TeamCity patch; restrict CLI access by IP; review files potentially accessed; rotate SSH keys and stored credentials,P0,"Patch record, access restriction config, file review log"
Load Balancer Session Token Leak,Apply Citrix ADC patch; terminate all active sessions; invalidate session tokens; monitor for anomalous session reuse,P0,"Patch record, session termination evidence, monitoring config"
Help Desk Deserialization RCE,Apply SolarWinds WHD patch immediately; isolate help desk from privileged network segments; review endpoint activity on connected machines,P0,"Patch record, network segmentation evidence, endpoint review"
API Admin Interface Exposed,Remove public access to admin API endpoint; restrict to internal IPs only; rotate admin credentials; review API access logs,P0,"Firewall rule, IP restriction config, access log review"
Confluence RCE via Template Injection,Patch Confluence immediately; disable OGNL template evaluation if patch unavailable; audit space permissions; review server logs for exploitation,P0,"Patch record, OGNL disable config, space audit log"
Microsoft Exchange NTLM Relay,Apply Exchange CU patch; enable Extended Protection for Authentication; disable legacy authentication protocols; review mail flow logs,P0,"Patch record, EPA config, auth protocol settings"
Database Privilege Escalation,Patch database engine; review and remove excessive privileges; implement least-privilege DB accounts; monitor for unusual privilege use,P1,"Patch record, privilege audit, monitoring config"
Storage Bucket Public Access,Remove public bucket policy; enforce Block Public Access; enable access logging; review CloudTrail for unauthorized reads,P1,"Cloud config snapshot, access log review, CloudTrail report"
Kubernetes Dashboard Exposure,Disable Kubernetes dashboard or enforce RBAC and authentication; remove default admin tokens; review cluster access logs,P1,"Dashboard config, RBAC policy, access log"
PHP CGI Argument Injection,Upgrade PHP to supported version; disable CGI mode; apply vendor patch; deploy WAF rule; review server logs for exploitation,P1,"PHP version record, CGI config, WAF rule, web log review"
Backup Encryption Not Enforced,Enable encryption at rest on backup storage; verify encryption key management; test backup restoration process,P1,"Encryption config, key management record, restoration test"
Windows Server EOL — No Patches,Isolate asset from network immediately; plan urgent migration to supported OS; implement compensating controls including network micro-segmentation and enhanced monitoring,P0,"Network isolation evidence, migration plan, compensating control list"
PostgreSQL End of Life,Migrate to supported PostgreSQL version; apply vendor-provided upgrade path; do not expose to internet during migration,P1,"Upgrade plan, version check post-migration"
Missing EDR Agent,Install approved EDR agent; verify check-in with EDR console; investigate recent activity on endpoint for signs of compromise,P1,"EDR console check-in record, deployment evidence"
Citrix NetScaler Session Token Leak,Apply Citrix ADC patch for CVE-2023-4966; invalidate all active sessions; review session logs for token theft indicators,P0,"Patch record, session invalidation log, monitoring evidence"
Outdated CMS Plugin,Patch or replace vulnerable plugin; add WAF rule to block exploit path; review web logs for scanning or exploitation activity,P2,"Plugin version, WAF rule, web log review"
Container Running as Root,Apply PodSecurityAdmission policy to deny privileged containers; rebuild images with non-root user; rescan images post-remediation,P1,"PodSecurityAdmission config, image rebuild record, scan report"
Kubernetes Privileged Container,Remove privileged flag from pod specs; implement OPA/Gatekeeper policies to prevent recurrence; audit all running pods,P1,"Pod spec change, OPA policy, pod audit report"
Firewall Over-Permissive Inbound Rules,Review and restrict firewall inbound rules to minimum required ports; document business justification for remaining rules; schedule quarterly review,P1,"Firewall rule change record, documentation"
Secrets Vault Audit Logging Disabled,Enable Vault audit log to a secured remote syslog destination; verify log ingestion into SIEM; alert on policy violations,P1,"Vault audit config, SIEM ingestion evidence"
Orphaned Asset — No Owner Assigned,Identify business owner via IT asset management process; assign owner; determine if asset is still required; decommission if not needed,P1,"Asset management record, owner assignment, decommission confirmation"
DR Site Not Tested,Schedule and execute DR failover test within 30 days; document results; remediate gaps found during test,P1,"DR test report, gap remediation plan"
Excessive Database User Privileges,Conduct database access review; apply principle of least privilege; revoke unnecessary rights; document access justifications,P2,"Access review report, revocation evidence"
NTLM Hash Disclosure,Apply Microsoft patches; enable SMB signing; block NTLM where possible; monitor for NTLM relay attacks in SIEM,P1,"Patch record, SMB signing config, SIEM alert config"
